B cell	T cell CD4+	T cell CD8+	Neutrophil	Macrophage	Myeloid dendritic cell
A_99	0.0518485314378363	0.0924844795000437	0.0962725928110919	0.0832036028125385	0.0100730287870071	0.369457943539139
A_100	0.264234214090046	0.333402479623181	0.748838854187893	0.339666366119423	0.1169510401763	0.846162765508932
A_101	0.0480681579724685	0.0836566525619096	0.160324360099623	0.09251916438426	0	0.438360715333239
A_102	0.0566442133241146	0.0703475436856732	0.190979691216716	0.0713230903023635	0.0239102202002913	0.462214164726791
A_103	0.0689720875970155	0.0704078562491776	0.163615347704816	0.107246093378042	0	0.427424246468298
A_104	0.0950894990256477	0.143602341568273	0.112723718446834	0.106608586225089	0.0530322415355722	0.461763016395089
A_105	0.198520378223183	0.249714596689247	0.117761237877745	0.197970139274666	0	0.619983711605226
A_106	0.0273247057385576	0.0718995835804077	0.110593307007932	0.0837933279179249	0	0.32380208377214
A_107	0.0749973270400415	0.186291675818449	0.246659342823774	0.124590377120637	0.0524652139587944	0.574270716134645
A_108	0.0451312084075267	0.151051455139098	0.148791542071889	0.129150476396227	0.0509746658006378	0.513892514905019
A_109	0.065091156500646	0.123011987636966	0.152219898851572	0.099227542754077	0.0396270341574755	0.428125370335222
A_110	0.0541721732267238	0.0778759552016893	0.130060221612862	0.0748387298161675	0	0.377883076901036
A_111	0.0557947581676157	0.0706511337695832	0.129478704556325	0.0853265435108278	0.0401315498338619	0.423373601856412
A_112	0.0465043125825515	0.136058863610336	0.181852359568759	0.135344289696207	0	0.469233693036477
A_113	0.0377007532975208	0.0727896908299073	0.123565510125846	0.07434038287751	0	0.347301047330259
A_114	0.0539704480800594	0.102077487975491	0.194048450752356	0.11319811435252	0	0.441737484448827
A_115	0.0639913669701714	0.124411054284802	0.193579398828347	0.121754552778599	0.0220709068536505	0.477531269811268
A_116	0.0440324086668206	0.142319354069899	0.0649674726138161	0.111089893553292	0.0140366675727538	0.383600279501691
A_117	0.100174505921528	0.0992359540333911	0.121650251117119	0.0997520669781743	0	0.432906582771602
A_118	0.0575993351462694	0.131727269076241	0.119711788669269	0.0908058527224759	0.00608288249843981	0.403046830387378
A_119	0.0670476511380097	0.0503697883024279	0.15806745652928	0.0637499989753249	0.0788087165714843	0.51645726622218
A_120	0.0633814240074692	0.0972607358762495	0.209552809442772	0.11400736755833	0	0.494955027214537
A_121	0.0649408462065266	0.106164780571029	0.202095536382048	0.177420224266785	0.108860819107349	0.62688157718042
A_122	0.0473594641815765	0.0867198180026641	0.127988296685066	0.0815182881500456	0	0.382163267702537
A_123	0.0778891936079	0.157649359072097	0.205945761810246	0.12260250222722	0.00790750341867928	0.510148491487304
A_124	0.0694254180959571	0.137908103776703	0.193489079291649	0.124752256358623	0.0337257753726913	0.532696213430907
A_125	0.02869558563361	0.060145827944061	0.141494178749758	0.0493635237708714	0.103615098584018	0.563004037322958
A_126	0.0870869364404585	0.108530179389727	0.200858935551145	0.118080908284984	0.00694612033396987	0.557797399321518
A_127	0.0501621621960875	0.125304227139768	0.0784978538738756	0.0852932631400458	0.00072474094579195	0.386760976668127
A_128	0.0515292364634732	0.105410598415976	0.140125680372887	0.0846762553773963	0.0076651204819023	0.421278070588433
A_129	0.124529035318439	0.113045391276105	0.310877803521251	0.15440183078989	0.036248489838742	0.637710381714945
A_130	0.0610248325182327	0.0699750447994953	0.206591873767531	0.125365788598451	0.00760373922500138	0.472734482059079
A_131	0.105878141602925	0.118958069031739	0.118419939212388	0.0909985125990189	0	0.583056814434073
A_132	0.0494080005707731	0.0703480734407474	0.149561621740854	0.0848539821602443	0	0.385533571240098
A_133	0.186060637320914	0.0672445809348601	0.463620518269639	0.207885411546941	0.0665964174502045	0.692586576830239
A_134	0.069308286733626	0.126272068157016	0.154664487795515	0.118938480919319	0.0925660277471545	0.484507560661077
A_135	0.0467477626227462	0.146513816609991	0.178110771374149	0.111482000482382	0.0419149900097986	0.45471263321899
A_136	0.0724303559869478	0.0970587812780507	0.20967617878574	0.104195565200994	0.0513838713179364	0.482111668842509
A_137	0.0382381261046181	0.0943219638711672	0.166762449870738	0.102542432980511	0	0.426011684177863
A_138	0.0561189800835424	0.0969446218865922	0.157045594678351	0.0895207828929307	0	0.411845366015034
A_139	0.0509856672141809	0.141809704609181	0.169362715500172	0.101998371787316	0.0170983058992205	0.403747886448395
A_140	0.0915692421908094	0.110966433819343	0.107691015262826	0.078476596295186	0	0.387770901018506
A_141	0.195514496547483	0.0578809899460733	0.218242928455597	0.105535037736043	0.00685215317187514	0.712424334126229
A_142	0.0529815781312507	0.0627423919992271	0.278032806067667	0.117394391149952	0.0401658323521024	0.651289317582043
A_143	0.0657725179029996	0.078284563290551	0.126157577842535	0.0743849740421553	0	0.396171327116471
A_144	0.0678730689778485	0.110138850239038	0.142563328761578	0.0998305028340297	0.0144042052246214	0.482230332126222
A_145	0.0672434526510466	0.0856030533083676	0.1479271989939	0.080188673974021	0	0.380603975505857
A_146	0.0663736383369844	0.143706536456296	0.154273345226775	0.100248445908217	0	0.511920683357967
A_147	0.0801393029924488	0.0918611882977651	0.169802177611282	0.117292817897555	0	0.442516316571651
A_148	0.0973356506089125	0.0553524861837852	0.210284736122708	0.136691407179623	0	0.600185608233585
A_149	0.0825096891713573	0.143973332094387	0.178992795403512	0.0979438718378995	0	0.442658285076704
A_150	0.0844369592716403	0.134883061092332	0.329745220828481	0.172633483377224	0.170131236749637	0.702855510226404
A_151	0.0483254086922633	0.0769997285029021	0.127323431912243	0.0693944405099421	0	0.367394805831094
A_152	0.0922817207665504	0.238459357170103	0.220026191217514	0.130744190829974	0.0992630251629543	0.556334869403996
A_153	0.0520305768428015	0.123679843561258	0.163642972798085	0.119007407054356	0.0166831182022754	0.477340517339972
A_154	0.0819799212368672	0.0938848046539212	0.255406125606902	0.125829337637487	0	0.533939452043503
A_155	0.0656931478848981	0.124592044889037	0.148790649846239	0.0965679262424652	0	0.429110692812197
A_156	0.054961407414668	0.0833902994914365	0.128401474244924	0.0825431584510165	0.00669634738631553	0.406084699140497
A_157	0.0708253992050477	0.15928446573674	0.160072152035104	0.140405328386537	0.11202006764438	0.516369804029579
A_158	0.0604249823621151	0.135579507148029	0.149929098303587	0.110176539982087	0	0.510439596985312
A_159	0.107864818677516	0.108891571762429	0.13309896514764	0.107624484805701	0.057172846411129	0.472858614298433
A_160	0.0649909498952814	0.189733657138616	0.26826796219687	0.152105935216451	0.131928312707229	0.630147825891009
A_161	0.0466070800524438	0.0538501853021445	0.185546247514725	0.084627958697554	0	0.373210921919404
A_162	0.0800572926341523	0.138953924717469	0.225426042295748	0.110501267952309	0.0609351297928685	0.52074239031366
A_163	0.0556502415434742	0.0933504785389236	0.141056028761357	0.107051631057786	0	0.530318734628688
A_164	0.0683468195585914	0.137632741312076	0.180000980866739	0.101570177475865	0	0.437557576077602
A_165	0.0381754000603878	0.115159346990148	0.157549216148202	0.0966273213807185	0.0086803082349617	0.449524613475375
A_166	0.063238688820823	0.185302614750429	0.140871030961705	0.118710044109434	0.0301183956149759	0.496676515024851
A_167	0.0439453409763526	0.392982498602312	0.184628031360403	0.178670696915821	0.217411706432123	0.657301098694431
A_168	0.0994517013173875	0.123490714080039	0.188104844949229	0.0949162022914791	0	0.455146629705318
A_169	0.0563392227404881	0.110672223283172	0.146555373011228	0.0908029295910901	0	0.408948449408779
A_170	0.081882888584077	0.137183735253893	0.311559418900857	0.13374583821637	0.0316512406792111	0.514505428024175
A_171	0.0471412060312104	0.110777198999052	0.157389483312036	0.125723625797496	0.0110739139021465	0.472779840131763
A_172	0.0556351967562835	0.10387813211071	0.141236962288136	0.089902211117362	0.0247972658218118	0.458517738558112
A_173	0.151844831487189	0.106666133786491	0.317518684278508	0.153309946311717	0.0275466289756293	0.634504811472195
A_174	0.103813839815459	0.155863436100672	0.131670285963402	0.127369383010172	0.200972873838934	0.504859393151313
A_175	0.0707209844786811	0.192224460249701	0.210114300339185	0.209943300004697	0.0424355265624087	0.696907943598772
A_176	0.120208005545665	0.0914850497034674	0.177943227129947	0.144590967981691	0.0148275334415062	0.47990255314748
A_177	0.0504828398798431	0.0757501194810443	0.13334369909275	0.0776316105095505	0	0.363906966767385
A_178	0.0898109095610442	0.127652144736253	0.196567896028639	0.153039701791647	0.113726513915777	0.562751102092389
A_179	0.0542470615995018	0.0868471618950448	0.119189453111978	0.0745350737690695	0	0.373971861116576
A_180	0.0622044256103154	0.120572831529749	0.139488332840886	0.0942961687587785	0.0115468800161518	0.440370796724758
A_181	0.0516042855221959	0.385064674540711	0.115831755305146	0.207076280619097	0.11467787415259	0.658185717691366
A_182	0.0628928301381364	0.102214196335491	0.162383074487865	0.0884306113149305	0	0.420092430034757
A_183	0.0839469841602949	0.234877709846345	0.230033610989169	0.13270245265678	0.0473369413930015	0.519371525707255
A_184	0.168187792887717	0.0938868352751898	0.36334194423184	0.214019806222716	0.0755577041217677	0.663608743001857
A_185	0.0538372581588224	0.138429137171146	0.141493037200881	0.0975362718164866	0.000580291013154393	0.454056687041202
