NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
ACC__TCGA-OR-A5LG	-4.33515597859161	-5.01797125321087	-8.5276672902649	-4.89431174004131	-6.5109306680369	-13.055018416773	-7.95948017071771	-8.19852873726318	-5.12536082936596	-4.05316193117203	-4.70575661327633	-6.73796522084578	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LH	-3.82701173388818	-6.42244927459085	-6.6627229352131	-5.00986467134761	-5.70523417451367	-17.472022636092	-9.2929846812755	-9.35300764104768	-8.41876886999547	-5.42523172142944	-7.29943531371124	-4.57016667523598	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LJ	-5.25697462427452	-7.32421572746685	-4.54215692006212	-3.30415321551706	-5.12981970170967	-23.0727511704117	-7.85365221399486	-5.92326064649828	-7.58960866643624	-5.85849186442211	-4.95989426959781	-2.80680195715736	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LK	1.36072447817184	-4.39798176967836	0.831022727125451	-2.74040398639851	1.49172909729087	1.68829410044168	-5.60875160035443	-3.68191313604402	-6.00559111871544	1.64700916993555	-5.0239774714533	0.500308561171504	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LL	-4.03582816952084	-4.76821039052311	-7.78897299532515	-4.46459085565127	-8.06349306697092	-18.1692492486596	-7.0278902054539	-10.2578508179739	-6.39065078343005	-6.67142139885011	-5.16274752898789	-6.04028545072043	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LM	-5.44854839966841	-7.32463208923249	-11.262383033564	-6.13594266652816	-10.522624170447	-17.7632910642564	-8.47131218128018	-8.45929928901247	-6.66316994283338	-6.23209398444688	-5.5079045194307	-8.45310105515114	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LN	0.960430977397554	1.92508331955117	0.573063019328862	-2.53122009361593	1.60316813898169	0.937158302093786	-5.94660793991049	-4.92303910863739	-4.39300348820785	-3.05173369672093	-4.51244593438954	-1.64570189618542	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LO	-8.97480165395558	-10.467800782636	-11.7499604733928	-6.89554132926781	-11.739670308664	-32.4213392812125	-9.52156477295678	-9.60857323321801	-6.97273078846003	-9.58863101167029	-5.65554890184817	-7.04695954958674	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LP	0.67219242596608	-3.13923838645216	-2.82309367418369	-3.52637991210216	1.07414114974365	-10.4995496548206	-6.78898478850574	-6.27202853303237	-6.95615140358004	-3.46305117263745	-5.27154758648342	-3.84030477000615	0	0	0	0	0	0	0	0	0	0	0	0
ACC__TCGA-OR-A5LR	-4.93248130497746	-6.02066832204244	-7.6842084459713	-4.52981579195697	-5.79038396455899	-17.169145322689	-7.57073444902271	-8.73162855349568	-7.45706297358058	-5.41945452187652	-6.27467494871643	-4.90857689758158	0	0	0	0	0	0	0	0	0	0	0	0
